info: ::ffff:127.0.0.1 - - [08/Nov/2024:12:08:31 +0000] "PUT /api/v1/notes/trash/672dff3f81a53b1758c091d5 HTTP/1.1" 200 57 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [08/Nov/2024:12:08:31 +0000] "DELETE /api/v1/notes/delete/672dff3f81a53b1758c091d5 HTTP/1.1" 200 339 "-" "node-superagent/3.8.3"

info: ::1 - - [08/Nov/2024:12:09:58 +0000] "POST /api/v1/users/register HTTP/1.1" 500 60 "-" "PostmanRuntime/7.42.0"

info: ::1 - - [08/Nov/2024:12:10:16 +0000] "POST /api/v1/users/register HTTP/1.1" 500 59 "-" "PostmanRuntime/7.42.0"

info: ::1 - - [08/Nov/2024:12:10:25 +0000] "POST /api/v1/users/register HTTP/1.1" 201 321 "-" "PostmanRuntime/7.42.0"

